,threshold,metric,filename,model,param_config,time
100,0.5555555555555556,0.44192634560906513,"(0, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,0
450,0.4855491329479769,0.44764649375600385,"(1, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,1
800,0.42419825072886297,0.3971631205673759,"(2, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,2
1150,0.5163398692810458,0.4392523364485981,"(3, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,3
1500,0.6666666666666666,0.4244791666666667,"(4, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,4
1850,0.5195003337465434,0.44672131147540983,"(5, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,5
2200,0.6666666666666666,0.42197452229299365,"(6, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,6
2550,0.7142857142857143,0.36387434554973824,"(7, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,7
2900,0.6071428571428571,0.31316489361702127,"(8, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,8
3250,0.6666666666666666,0.4086294416243655,"(9, 2, 0)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,0,9
101,1.0,0.0,"(0, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,0
451,1.0,0.0,"(1, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,1
801,1.0,0.0,"(2, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,2
1151,1.0,0.0,"(3, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,3
1501,1.0,0.0,"(4, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,4
1851,1.0,0.0,"(5, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,5
2201,1.0,0.0,"(6, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,6
2551,1.0,0.0,"(7, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,7
2901,1.0,0.0,"(8, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,8
3251,1.0,0.0,"(9, 2, 1)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,1,9
102,0.4940476190476191,0.6143344709897611,"(0, 2, 10)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,10,0
452,0.3942093541202673,0.45606326889279436,"(1, 2, 10)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,10,1
802,0.41315261044176704,0.4391891891891892,"(2, 2, 10)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,10,2
1152,0.4790528233151184,0.4,"(3, 2, 10)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,10,3
1502,0.4705882352941176,0.536036036036036,"(4, 2, 10)_DecisionTreeClassifier_date_params.csv",DecisionTreeClassifier_date_params,10,4
